Model,Test Accuracy,CV Mean Accuracy
SVM (RBF kernel),0.9666666666666667,0.9666666666666666
Logistic Regression,0.9333333333333333,0.9600000000000002
K-Nearest Neighbors,0.9333333333333333,0.96
Decision Tree,0.9333333333333333,0.9533333333333334
Random Forest,0.9,0.9666666666666668
